id,name,website_url,x,y,category_id,year_founded,total_funding,hq_country,hq_city,contact_person,description,user_group
s1,Cloud Quest,https://cloud-quest.io,321.1,674.7,cat1,2018,2585614,Netherlands,Tel Aviv,Jordan Martinez,Cloud Quest provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s2,Smart Forge,https://smart-forge.io,301.3,633.6,cat1,2023,25222569,France,San Diego,Taylor Lee,Smart Forge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s3,Sync Edge,https://sync-edge.io,287.4,676.2,cat1,2016,31880302,USA,Berlin,Blake Wilson,Sync Edge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s4,Zenith Max,https://zenith-max.io,314.2,634.9,cat1,2018,6349377,USA,Atlanta,Blake Smith,Zenith Max provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s5,Forge Nexus,https://forge-nexus.io,341.9,694,cat1,2023,1263996,USA,London,Casey Smith,Forge Nexus provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s6,Data Node,https://data-node.io,306.7,649.9,cat1,2018,1831305,USA,London,Skyler Thomas,Data Node provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s7,Sync Logic,https://sync-logic.io,327.5,603.7,cat1,2023,602316,France,Austin,Alex Wilson,Sync Logic provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s8,Vault Flow,https://vault-flow.io,318.6,638.2,cat1,2016,2588426,UK,Chicago,Blake Lee,Vault Flow provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s9,Yield Tide,https://yield-tide.io,314,606.8,cat1,2018,114232652,Canada,San Francisco,Avery Martinez,Yield Tide provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s10,Nexus Beam,https://nexus-beam.io,345.1,724.1,cat1,2023,47631090,USA,Chicago,Quinn Williams,Nexus Beam provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s11,Vertex Code,https://vertex-code.io,328.2,655.2,cat1,2022,606322,USA,Denver,Riley Davis,Vertex Code provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s12,Vault Vault,https://vault-vault.io,297.5,694.9,cat1,2019,30212767,UK,Miami,Jamie Johnson,Vault Vault provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s13,Acme Go,https://acme-go.io,337.5,651.5,cat1,2020,6003020,USA,Chicago,Alex Wilson,Acme Go provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s14,Tech Byte,https://tech-byte.io,325.5,664.1,cat1,2022,60287537,USA,Boston,Pat Thompson,Tech Byte provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s15,Meridian One,https://meridian-one.io,332.8,629.7,cat1,2017,2527698,USA,Miami,Avery Brown,Meridian One provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s16,Zenith Scope,https://zenith-scope.io,302.8,636,cat1,2023,81193118,USA,Amsterdam,Emery Lee,Zenith Scope provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s17,Apex Code,https://apex-code.io,311.8,665.7,cat1,2018,133232719,USA,Singapore,Pat Rodriguez,Apex Code provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s18,Haven AI,https://haven-ai.io,300.9,621.9,cat1,2019,2110232,USA,New York,Quinn Lee,Haven AI provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s19,Apex 360,https://apex-360.io,282.1,656.7,cat1,2021,475035,Netherlands,Paris,Alex Anderson,Apex 360 provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s20,Stride Stack,https://stride-stack.io,326.6,634.1,cat1,2016,47211413,France,New York,Casey Garcia,Stride Stack provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s21,Stride Scope,https://stride-scope.io,298.3,637.5,cat1,2023,555450,USA,San Diego,Finley Johnson,Stride Scope provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s22,Tech Edge,https://tech-edge.io,304.2,658.5,cat1,2022,8931385,USA,Sydney,Jamie White,Tech Edge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s23,Yield Unit,https://yield-unit.io,319.9,615.3,cat1,2017,2655553,USA,Singapore,Jamie Garcia,Yield Unit provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s24,Helix Forge,https://helix-forge.io,301.7,672,cat1,2016,1341012,UK,Seattle,Sam Taylor,Helix Forge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s25,Spark Lite,https://spark-lite.io,333.3,641.9,cat1,2017,12766792,USA,San Diego,Cameron Taylor,Spark Lite provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s26,Atlas Code,https://atlas-code.io,320.1,598.8,cat1,2020,40065933,Australia,Singapore,Jamie Thompson,Atlas Code provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s27,Mint Wave,https://mint-wave.io,340,635.8,cat1,2022,35514367,Canada,Seattle,Chris Miller,Mint Wave provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s28,Bolt 360,https://bolt-360.io,335,617.1,cat1,2023,4831563,USA,Philadelphia,Dakota Jones,Bolt 360 provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s29,Spark Base,https://spark-base.io,303.7,631,cat1,2017,4218419,USA,Singapore,Jamie Garcia,Spark Base provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s30,Terra Wise,https://terra-wise.io,295.1,618.8,cat1,2021,32796186,France,Amsterdam,Skyler Jones,Terra Wise provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s31,Warp Hub,https://warp-hub.io,333.6,640.8,cat1,2016,70227709,France,Amsterdam,Avery Williams,Warp Hub provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s32,Ember Core,https://ember-core.io,272.9,648,cat1,2018,8783687,Australia,Sydney,Casey Moore,Ember Core provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s33,Yield Now,https://yield-now.io,297.8,715.6,cat1,2016,11263198,USA,Singapore,Sam Moore,Yield Now provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s34,Iris Quest,https://iris-quest.io,296.8,629.1,cat1,2022,66723647,Netherlands,Denver,Finley Brown,Iris Quest provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s35,Ember Tide,https://ember-tide.io,288.9,614.2,cat1,2019,21768158,USA,Seattle,Emery Anderson,Ember Tide provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s36,Tech Link,https://tech-link.io,296.2,672.8,cat1,2020,20280410,France,London,Jamie Taylor,Tech Link provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s37,Lattice Rise,https://lattice-rise.io,319,652.5,cat1,2017,1577559,Netherlands,Singapore,Pat Davis,Lattice Rise provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s38,Luma Sync,https://luma-sync.io,354.1,625.6,cat1,2016,10014973,USA,Austin,Alex Martin,Luma Sync provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s39,Lens Pulse,https://lens-pulse.io,303.6,681,cat1,2023,5229190,USA,Chicago,Robin Jones,Lens Pulse provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s40,Vertex Edge,https://vertex-edge.io,341.2,687.3,cat1,2016,34409485,UK,Toronto,Cameron Brown,Vertex Edge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s41,Cipher Quest,https://cipher-quest.io,321.7,665.5,cat1,2019,1547562,Netherlands,San Francisco,Riley Smith,Cipher Quest provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s42,Vector Beam,https://vector-beam.io,276.2,689.7,cat1,2022,33752779,USA,London,Jamie Davis,Vector Beam provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s43,Bolt Port,https://bolt-port.io,278.8,640.8,cat1,2021,1796300,USA,Denver,Robin Thompson,Bolt Port provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s44,Spark Scope,https://spark-scope.io,331,689.5,cat1,2023,85085082,Netherlands,Paris,Quinn Jones,Spark Scope provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s45,Luma Core,https://luma-core.io,323.6,638.2,cat1,2021,6370761,USA,Miami,Jamie Wilson,Luma Core provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s46,Smart Byte,https://smart-byte.io,280.6,678.3,cat1,2018,11486806,USA,Toronto,Drew White,Smart Byte provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s47,Cipher Byte,https://cipher-byte.io,350,631.9,cat1,2017,730619,USA,Tel Aviv,Alex Wilson,Cipher Byte provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s48,Xylo Yard,https://xylo-yard.io,370.9,656.3,cat1,2020,7346581,USA,Sydney,Jordan Jackson,Xylo Yard provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s49,Acme Labs,https://acme-labs.io,315.5,608,cat1,2023,336569,Israel,London,Blake Williams,Acme Labs provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s50,Quantum Forge,https://quantum-forge.io,327.1,674.9,cat1,2021,5683315,Netherlands,Philadelphia,Casey White,Quantum Forge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s51,Pulse Pro,https://pulse-pro.io,319.2,657.4,cat1,2018,2098943,USA,San Diego,Finley Taylor,Pulse Pro provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s52,Apex OS,https://apex-os.io,358,682.1,cat1,2020,18455896,USA,Miami,Drew Williams,Apex OS provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s53,Prism Cloud,https://prism-cloud.io,324.5,686.6,cat1,2021,663238,Australia,Portland,Jamie Jackson,Prism Cloud provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s54,Prism Wave,https://prism-wave.io,318.6,615.4,cat1,2016,4960064,USA,Miami,Quinn Brown,Prism Wave provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s55,Nexus Link,https://nexus-link.io,307.7,690.1,cat1,2016,147775958,Netherlands,Sydney,Finley White,Nexus Link provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s56,Iris Beam,https://iris-beam.io,319.6,642.2,cat1,2016,710613,France,Chicago,Dakota Jones,Iris Beam provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s57,Zenith Wise,https://zenith-wise.io,475.8,257.6,cat2,2022,563232,USA,Chicago,Riley Moore,Zenith Wise provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s58,Luma Flow,https://luma-flow.io,485.9,267.6,cat2,2022,27995070,USA,Singapore,Alex Davis,Luma Flow provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s59,Helix Pro,https://helix-pro.io,502.8,338.5,cat2,2016,61417232,Netherlands,Denver,Blake Johnson,Helix Pro provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s60,Nova Labs,https://nova-labs.io,523,302,cat2,2019,426456,USA,Portland,Casey Jones,Nova Labs provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s61,Cloud Go,https://cloud-go.io,502.1,283.1,cat2,2023,7203754,USA,Miami,Jamie Jackson,Cloud Go provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s62,Warp Max,https://warp-max.io,516.2,287.8,cat2,2020,334184,Netherlands,Chicago,Skyler Martin,Warp Max provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s63,Forge Wise,https://forge-wise.io,472.8,282.7,cat2,2021,1192260,France,Austin,Blake Miller,Forge Wise provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s64,Tech Code,https://tech-code.io,460.1,237.3,cat2,2020,58102972,Netherlands,Toronto,Alex Martinez,Tech Code provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s65,Jade Forge,https://jade-forge.io,474.3,289.9,cat2,2021,2950113,Canada,Tel Aviv,Dakota Lee,Jade Forge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s66,Vertex Rise,https://vertex-rise.io,451.6,250.2,cat2,2023,5571496,Canada,Los Angeles,Finley Wilson,Vertex Rise provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s67,Luma Beam,https://luma-beam.io,494.4,286.3,cat2,2022,8961146,USA,New York,Cameron Garcia,Luma Beam provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s68,Core Logic,https://core-logic.io,540.4,263.5,cat2,2020,649191,UK,Philadelphia,Casey Taylor,Core Logic provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s69,Cloud AI,https://cloud-ai.io,499,281.3,cat2,2016,64177446,USA,Seattle,Avery Williams,Cloud AI provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s70,Kite Pro,https://kite-pro.io,477,275.5,cat2,2019,77888213,USA,Paris,Dakota Brown,Kite Pro provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
s71,Yield Forge,https://yield-forge.io,520.9,231.7,cat2,2016,2818650,UK,Singapore,Dakota White,Yield Forge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s72,Helix Bridge,https://helix-bridge.io,489.6,287.2,cat2,2022,52226959,USA,Amsterdam,Sam Martin,Helix Bridge provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Developer
s73,Jade Zone,https://jade-zone.io,532.6,252,cat2,2021,724549,USA,Miami,Chris White,Jade Zone provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Consumer
s74,Haven Signal,https://haven-signal.io,454.8,229.7,cat2,2019,733589,Singapore,Miami,Finley Jackson,Haven Signal provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,SMB
s75,Prime Logic,https://prime-logic.io,529.8,287.8,cat2,2018,6766471,USA,Austin,Jordan Brown,Prime Logic provides innovative solutions for modern businesses. Our platform helps companies streamline operations and drive growth. Trusted by teams worldwide.,Enterprise
