category_id,category_name,category_description,parent_category_id,level
cat1,Autonomous Defense Systems,"Startups in autonomous defense systems develop unmanned platforms for air, land, and sea operations. These include autonomous drones, robotic ground vehicles, and naval unmanned vessels. The focus is on reducing human exposure in high-risk environments. Many companies integrate AI-based navigation and target recognition. Dual-use applications extend into disaster response and border security. This category is central to next-generation battlefield modernization.",,1
cat1-1,Unmanned Aerial Systems (UAS),"This sub-category sits within Autonomous Defense Systems and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat1,2
cat1-1-1,Tactical ISR Drones,"This micro-category is a specific startup lane under Unmanned Aerial Systems (UAS). Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-1,3
cat1-1-2,Autonomous Swarm Drones,"This micro-category is a specific startup lane under Unmanned Aerial Systems (UAS). Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-1,3
cat1-1-3,Counter-UAS Platforms,"This micro-category is a specific startup lane under Unmanned Aerial Systems (UAS). Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-1,3
cat1-2,Autonomous Ground Vehicles,"This sub-category sits within Autonomous Defense Systems and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat1,2
cat1-2-1,Reconnaissance UGVs,"This micro-category is a specific startup lane under Autonomous Ground Vehicles. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-2,3
cat1-2-2,Logistics & Resupply Robotics,"This micro-category is a specific startup lane under Autonomous Ground Vehicles. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-2,3
cat1-2-3,Combat Support Vehicles,"This micro-category is a specific startup lane under Autonomous Ground Vehicles. Companies usually focus on a narrow technical wedge or product module with clear performance metrics. Typical requirements include high reliability, secure operation, and rapid integration with existing systems. These startups are useful for early signal detection and partnership or acquisition scanning. Dual-use applications can extend into industrial automation, security, or aerospace markets. This label is designed for high-zoom exploration and fine-grained clustering.",cat1-2,3
cat1-3,Maritime Autonomous Systems,"This sub-category sits within Autonomous Defense Systems and captures a focused capability area for startup scouting. Startups here typically ship deployable subsystems, software modules, or platform components rather than full end-to-end solutions. Key differentiators often include robustness in contested environments, low SWaP constraints, and integration-readiness. Commercial spillover into aerospace, robotics, and critical infrastructure is common. This grouping enables more precise search, filtering, and competitive mapping inside the parent category. It is intended to surface concentrated pockets of innovation and funding momentum.",cat1,2
